Scheme Name,Eligibility,URL,Region,Tags
D. D. Kosambi Research Fellowship Scheme,"['Any individual who has completed post-graduation and is upto 35 years of age shall be eligible to undertake research in the junior category.', 'Any individual who has completed post-graduation and is above the age of 35 shall be eligible to undertake research in the senior category.', 'Any individual who has completed a PhD shall be eligible to undertake research in the post-doctoral category. There shall be no age bar in this category.', 'The fellowship shall be awarded to any scholar only once in his lifetime under each category.']",https://www.myscheme.gov.in/schemes/ddkfs,Goa,"Arts, Education, Fellowship, PhD, Research, Social Studies"
Post Matric Scholarship To Scheduled Caste Students Of Nagaland,"['The applicant must be pursuing post-matric (above class X) studies and belong to the Scheduled Tribe of Nagaland.', 'The Annual Income of the applicant‘s parents/guardians from all sources must not exceed ₹ 2.50 lakh (Rupees Two Lakh Fifty Thousand).', 'Applicant must be from Institution which has a valid AISHE/UDISE code.', 'Students who have failed their last examination (repeaters) are not eligible to apply.', 'Students who have availed of this scholarship at one stage of education and have passed but are studying in the same stage of education in a different stream/subject. For example, a student who is currently pursuing a B.A. course but has passed BCom and availed of this scholarship while pursuing a BCom course will not be eligible to apply.', 'Students having study breaks of more than 2 (two) years are not eligible to apply for this scholarship.', 'Applicant must not be a beneficiary of any other scholarship scheme.', 'Applicant must not be an employee of any government/semi government establishment.', 'Students pursuing Diploma/Certificate Course can also apply provided they fulfil the above criteria (1- 8) and their course duration is not less than two years.', 'Students studying in NIOS can also apply, provided they fulfil criteria 1 to 8 and have the following subject combination. a) For class 11 and 12 level course, the applicant must have passed class 10 with the following subject combination. i) English ii). Alt English or MIL iii) Science iv) Maths and v) Social Science.', 'EligibilityThe applicant must be pursuing post-matric (above class X) studies and belong to the Scheduled Tribe of Nagaland.The Annual Income of the applicant‘s parents/guardians from all sources must not exceed ₹ 2.50 lakh (Rupees Two Lakh Fifty Thousand).Applicant must be from Institution which has a valid AISHE/UDISE code.Students who have failed their last examination (repeaters) are not eligible to apply.Students who have availed of this scholarship at one stage of education and have passed but are studying in the same stage of education in a different stream/subject. For example, a student who is currently pursuing a B.A. course but has passed BCom and availed of this scholarship while pursuing a BCom course will not be eligible to apply.Students having study breaks of more than 2 (two) years are not eligible to apply for this scholarship.Applicant must not be a beneficiary of any other scholarship scheme.Applicant must not be an employee of any government/semi government establishment.Students pursuing Diploma/Certificate Course can also apply provided they fulfil the above criteria (1- 8) and their course duration is not less than two years.Students studying in NIOS can also apply, provided they fulfil criteria 1 to 8 and have the following subject combination. a) For class 11 and 12 level course, the applicant must have passed class 10 with the following subject combination. i) English ii). Alt English or MIL iii) Science iv) Maths and v) Social Science.', 'Eligibility']",https://www.myscheme.gov.in/schemes/pmsscsn,Nagaland,"Higher Education, Nagaland, Post Matric Scholarship, Scheduled Caste, Student"
Subsidy Scheme On Establishment Of 25 R.I.R. Birds' Unit For Weaker Section,"['The benefits of this scheme will only be given to the adult of the economically weaker section people of the society of Gujarat state.', 'The beneficiary will have to provide income proof along with the application.', 'Females and beneficiaries below the poverty line will be given priority.', 'The beneficiary should have taken poultry-keeping training.']",https://www.myscheme.gov.in/schemes/sse25rbuwse,Gujarat,"Farmer, Poultry Farming, Rhode Island Red (RIR), Subsidy, Weaker Section"
Kali Bai Bheel Medhavi Chhatra Scooty Scheme,"['Girl students who have passed class 12th with a minimum of 65% marks in Rajasthan Board of Secondary Education and passed class 12th with a minimum of 75% marks in Central Board of Secondary Education who are studying in any school in Rajasthan.', 'Graduation degree from any Rajasthan-based college like (B.A.BED/ B.SC.BED/ B.COM.BED/BE / B.TECH/ B.ARCH / MBBS / IIT / BBA / BBM / BCA / BDS / BHMS / BAMS / LAW/ etc.) and studying as a regular student.', ""The benefit of the scheme will not be payable if there is a gap of one year from the year of passing the 12th class in the admission of a bachelor's degree."", 'Girl students getting financial assistance in any other scheme will also be benefited from this scheme. Girl students receiving financial aid/scholarships in any other scheme will not be deprived of this scheme.', 'The girl students who have got the benefit of scooty in any scheme of the state government on the basis of their marks in any class before the implementation of the said scheme, those girl students will not be eligible to get scooty in this scheme.', 'In the past, on the basis of 10th class results from the TAD Department, School Education Department, if a girl child has received scooty on the basis of 10th result, then that girl student will get a lump sum amount of Rs 40,000 if she is eligible on the basis of 12th result.']",https://www.myscheme.gov.in/schemes/kbbmcss,Rajasthan,"Educational Support, Higher Education, Student"
ICAR Emeritus Professor,"['The following criteria will be taken into consideration for the selection of an Emeritus Professor:', 'The applicant should be an outstanding superannuated teacher/Scientist with a good record of published work and teaching/ training experience of a minimum of 5 years.', '\ufeff', 'The ICAR Emeritus Professor can work under this scheme up to the age of 70 years or up to three years, whichever is earlier.', '\ufeff', 'The teacher/Professor who is to retire in the next 12 months time is eligible to apply. The application should be submitted through the Executive Authority where the Emeritus Professor proposes to work in the prescribed Proforma to the Deputy Director General (Education), ICAR. The maximum age limit for applying for ICAR. Emeritus Professor will be 65 years. Preference will be given to applicants superannuated within one year from the date of notification. The notification for filling up vacant slots will be issued depending upon the vacancies from time to time. The applications received within the period specified in the circular will only be entertained.']",https://www.myscheme.gov.in/schemes/icar-ep,Ministry Of Agriculture and Farmers Welfare,"Emeritus, ICAR, Professor, Retired"
Economic Help To Tribal Girls For Higher Education (College Level),"['The girl student should belong to the tribal class of Rajasthan.', 'The girl student should be regularly studying general education in a private/government college.', 'The parent/guardian/guardian/husband of the student should not be an income taxpayer.', 'After passing the board examination, there should not be any gap in the continuous study of the student applying for the scheme.', 'The student who is studying by living in a hostel run by the government. They will not be entitled to benefit under the said scheme.', 'Must have Vaidya Bhamashah card and Aadhaar card.', 'The girl student should be a native of Rajasthan.']",https://www.myscheme.gov.in/schemes/ehttg,Rajasthan,"Educational Grant, Financial Assistance, Higher Education, Student"
Construction of Fish Markets,['The applicant should be a local body such as a Municipality or a Village Panchayat in the State of Goa.'],https://www.myscheme.gov.in/schemes/cfm,Goa,"Financial Assistance, Fish, Infrastructure, Market, Subsidy"
Haryana Shubhra Jyotsna Pension Scheme,"['The scheme will be applicable to residents of Haryana who participated actively and struggled during the period of emergency and faced imprisonment even for one day, under the MISA Act, 1971 and/or the Defence of India Act, 1962, and Rules framed there under. The scheme shall also be applicable to widows of such persons.', 'He or She must be a resident of Haryana State and must have undergone imprisonment for any period, during the Emergency Period i.e. 25.06.1975 to 21.03.1977. He or She has to produce the jail certificate for the same issued by Jail Superintendent concerned and countersigned by District Magistrate.', 'In case the person cannot produce the jail certificate due to the record being missing or unavailable, he may produce a certificate from two co-prisoners. Such certificates of co-prisoners must be authenticated by an MLA or MP of the concerned district.', 'Sufferers, getting a pension or honorarium of any kind from any other State Government will also be eligible. However, if an otherwise eligible Emergency Sufferer is getting a pension from any other State Government for the same purpose of an amount less than ₹10,000/- per month, the entitlement of pension under this scheme would be reduced by that amount.', 'The benefit of the scheme be also provided to those persons who are/were domicile of another State but were arrested and jailed in Haryana State.', 'The scheme will be applicable to residents of Haryana who participated actively and struggled during the period of emergency and faced imprisonment even for one day, under the MISA Act, 1971 and/or the Defence of India Act, 1962, and Rules framed there under. The scheme shall also be applicable to widows of such persons.He or She must be a resident of Haryana State and must have undergone imprisonment for any period, during the Emergency Period i.e. 25.06.1975 to 21.03.1977. He or She has to produce the jail certificate for the same issued by Jail Superintendent concerned and countersigned by District Magistrate.In case the person cannot produce the jail certificate due to the record being missing or unavailable, he may produce a certificate from two co-prisoners. Such certificates of co-prisoners must be authenticated by an MLA or MP of the concerned district.Sufferers, getting a pension or honorarium of any kind from any other State Government will also be eligible. However, if an otherwise eligible Emergency Sufferer is getting a pension from any other State Government for the same purpose of an amount less than ₹10,000/- per month, the entitlement of pension under this scheme would be reduced by that amount.The benefit of the scheme be also provided to those persons who are/were domicile of another State but were arrested and jailed in Haryana State.', 'Note 01:The beneficiary Emergency Sufferers will have to open an Aadhaar linked Saving Bank Account in any Nationalized Bank for transferring the amount of pension to their bank accounts and have to give a “live certificate” in January every year, as is being followed in the case of other pensioners.Note 02:In case of the demise of any of the Emergency Sufferers, the monthly pension will continue to be given to his/her surviving wife. If the beneficiary had died (Husband or Wife as the case may be), the pension will be given to the living spouse.Note 03:If the applicant is receiving any other pension from the State Government, this portion of the pension will be subtracted from Shubhra Jyotsna Pension, the only exception being the old age pension.Note 04:Applicant can apply from only one district and he has to submit an affidavit to the effect that he has not applied from any other district.', 'Note 01:The beneficiary Emergency Sufferers will have to open an Aadhaar linked Saving Bank Account in any Nationalized Bank for transferring the amount of pension to their bank accounts and have to give a “live certificate” in January every year, as is being followed in the case of other pensioners.', 'Note 02:In case of the demise of any of the Emergency Sufferers, the monthly pension will continue to be given to his/her surviving wife. If the beneficiary had died (Husband or Wife as the case may be), the pension will be given to the living spouse.', 'Note 03:If the applicant is receiving any other pension from the State Government, this portion of the pension will be subtracted from Shubhra Jyotsna Pension, the only exception being the old age pension.', 'Note 04:Applicant can apply from only one district and he has to submit an affidavit to the effect that he has not applied from any other district.']",https://www.myscheme.gov.in/schemes/hsjps,Haryana,"Emergency, Financial Assistance, Imprisonment, Pension"
Patent Filing Reimbursement Scheme,"['1. All the new and existing units must have their operations in Goa.', '2. The applicant must be one of the below:', '3. The bank accounts of the unit and/or its partner(s)/director(s) should be linked to Aadhaar.']",https://www.myscheme.gov.in/schemes/pfrs,Goa,"Company, Information Technology, Patent, Reimbursement"
Legal Aid To Scheduled Castes And Vimukat Jatis Scheme,"['1.\tThe applicant should be a permanent resident of Haryana State.', '1.\tThe applicant should be a permanent resident of Haryana State.', '2.\tThe applicant should belong to the Scheduled Caste or Vimukat Jatis of Haryana State to avail of the benefits of the scheme.', '2.\tThe applicant should belong to the Scheduled Caste or Vimukat Jatis of Haryana State to avail of the benefits of the scheme.']",https://www.myscheme.gov.in/schemes/lascvjs,Haryana,"Court Cases, Financial Assistance, Legal Aid, Scheduled Castes, Vimukat Jatis"
Mukhya Mantri Grihini Suvidha Yojana,"['The applicant should be a resident of Himachal Pradesh.', 'The applicant should belong to the Below Poverty Line (BPL) category.', 'The applicant should not have an LPG connection in their name or in the name of any member of their household.', 'The applicant should not be a recipient of any other LPG connection under any other government scheme']",https://www.myscheme.gov.in/schemes/mmgsy,Himachal Pradesh,"Gas Connection, Grihini Suvidha Yojana, Information And Public Relations, LPG Cylinder, MMGSY"
The Scheme Of State Award For Disabled,"['The applicant should be an Employee or an Employer or a Placement Agency.', 'If the applicant is an Employee or an Employer:', 'The applicant should be a Person with Disability (Visually Impaired, Hearing Impaired, Orthopedically Handicapped, etc).', 'The percentage of disability should be 40% and above.', 'The applicant should be a citizen of India.', 'The applicant should be a permanent resident of the state of Maharashtra.']",https://www.myscheme.gov.in/schemes/tssad,Maharashtra,"Award, Employment, Persons With Disability, Placement"
Mukhya Mantri Vidyarthi Kalyan Yojana,['\ufeff'],https://www.myscheme.gov.in/schemes/mvky,Himachal Pradesh,"Education, Financial Assistance, Scholarship, Skill Development, Student"
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,"['The benefits of this scheme will only be given to the adult of Scheduled Tribe people of the society of Gujarat State.', 'The beneficiary will have to provide income proof and a caste certificate along with application.', 'Females and beneficiaries below poverty line will be given priority.', 'The beneficiary should have taken poultry-keeping training.']",https://www.myscheme.gov.in/schemes/sse25krbust,Gujarat,"Financial Assistance, Kadaknath, Poultry Farming, Rhode Island Red (RIR), Scheduled Tribe, Subsidy"
IGSTC Industrial Fellowship- Post Doctoral Industrial Fellowship,"['The applicant should be an Indian citizen.', 'The maximum age limit of the applicant should be 35 years.', 'Postdoctoral researchers/fresh PhDs who have been awarded their PhD degree in science/engineering within 3 years of the application deadline by any Indian institution/university are eligible to apply.', 'Outstanding researchers not holding a permanent position or having a career break are eligible to apply.', 'Those who have submitted their PhD thesis are also eligible to apply.', 'The Fellowship is granted to work in any industrial research set up in Germany.', 'The applicant should be an Indian citizen.The maximum age limit of the applicant should be 35 years.Postdoctoral researchers/fresh PhDs who have been awarded their PhD degree in science/engineering within 3 years of the application deadline by any Indian institution/university are eligible to apply.Outstanding researchers not holding a permanent position or having a career break are eligible to apply.Those who have submitted their PhD thesis are also eligible to apply.The Fellowship is granted to work in any industrial research set up in Germany.Note 01:The applicant must define a detailed activity plan containing the objective, execution strategy, and expected outcome for the fellowship duration.Note 02:The Awardee will be hosted by the industry/industrial research organization for the duration of the Fellowship. Choice and acceptance from the industry/industrial research organization is the sole responsibility of the applicant. The applicant should ensure an endorsement/consent letter from the host industry/organization at the time of the application.Note 03:The applicant having institutional affiliation shall submit NOC from the Head of the institution at the time of application.Note 04:Applicants shall submit a recommendation letter from the mentor at the parent organization.Note 05:The applicant not having affiliation with an institution may submit 2 letters of reference.Note 06:The awardee will abide by the conduct, rules & regulations of the German host organization and the country. IGSTC will not be responsible for the violation of any Rules and regulations by the awardee.Note 07:IGSTC will disburse the grant to the Indian bank account of the awardee/parent institution in INR.Note 08:The awardee shall commence his/her visit within 3 months from the date of the result.Note 09:The awardee/host mentor must inform IGSTC through email/letter if the awardee discontinues the Fellowship before the completion of the tenure.Note 10:Within 4 weeks of completion of the Fellowship, the awardee must submit a detailed Fellowship completion report endorsed by the host mentor in the prescribed format along with representative photos to IGSTC.Note 11:The awardee must recognize and acknowledge IGSTC Industrial Fellowship in all online/print documents, communication, reports, publications, PhD thesis, etc. on work resulting from the Fellowship.', 'Note 01:The applicant must define a detailed activity plan containing the objective, execution strategy, and expected outcome for the fellowship duration.', 'Note 02:The Awardee will be hosted by the industry/industrial research organization for the duration of the Fellowship. Choice and acceptance from the industry/industrial research organization is the sole responsibility of the applicant. The applicant should ensure an endorsement/consent letter from the host industry/organization at the time of the application.', 'Note 03:The applicant having institutional affiliation shall submit NOC from the Head of the institution at the time of application.', 'Note 04:Applicants shall submit a recommendation letter from the mentor at the parent organization.', 'Note 05:The applicant not having affiliation with an institution may submit 2 letters of reference.', 'Note 06:The awardee will abide by the conduct, rules & regulations of the German host organization and the country. IGSTC will not be responsible for the violation of any Rules and regulations by the awardee.', 'Note 07:IGSTC will disburse the grant to the Indian bank account of the awardee/parent institution in INR.', 'Note 08:The awardee shall commence his/her visit within 3 months from the date of the result.', 'Note 09:The awardee/host mentor must inform IGSTC through email/letter if the awardee discontinues the Fellowship before the completion of the tenure.', 'Note 10:Within 4 weeks of completion of the Fellowship, the awardee must submit a detailed Fellowship completion report endorsed by the host mentor in the prescribed format along with representative photos to IGSTC.', 'Note 11:The awardee must recognize and acknowledge IGSTC Industrial Fellowship in all online/print documents, communication, reports, publications, PhD thesis, etc. on work resulting from the Fellowship.']",https://www.myscheme.gov.in/schemes/igstcif-pdif,Ministry Of Science And Technology,"Fellowship, Germany, IGSTC, Indo-German, Post Doctoral, Research"
Financial Support To The Students Of N.E.R For Higher Professional Courses (NEC Merit Scholarship),"['The applicant must be a permanent resident of any of the North Eastern States.', 'The applicant must be admitted in Diploma, Degree, Post-graduate or registered in M.Phil. / Ph.D. courses of any institute recognized by the Government.', ""The total annual income of the applicant's parents/guardian (from all sources) shall not exceed ₹8,00,000."", 'The applicant must fulfill the following eligibility criteria in the previous qualifying examination:', 'In case of a tie, preference shall be given to the candidate having a lesser family income.', 'There will not be any reservation/quota on the basis of category/religion/gender.', 'At the time of availing of the scholarship, the applicant must not be in receipt of any other scholarship/financial assistance from any other source.', 'Once selected, the scholarship shall be available to a selected student for the prescribed duration of a course subject to fulfillment of renewal conditions.', 'Extension of scholarship beyond the prescribed period of study will not be entertained.', 'Students enrolled in the integrated courses will be entitled to receive the scholarship for the full duration of the course as per the admissible rates.', 'The scholarship for M.Phil. will be available for 2 years and for the Ph.D. scholarship shall be for 3 years.', 'The merit lists will be drawn from among finally verified applications as per the scheme guidelines and after following the laid down procedure on the NSP.', 'Selection of students for M. Phil and Ph. D. will be made on the basis of the topic of research/Synopsis which has relevance to the problems/issues related to the NE Region. The Subjects/topics for M.Phil and Ph.D. should invariably be directly, specifically, and currently relevant to NE Region. Basic and theoretical research shall not be favored in general.', 'The scholarship is purely on a merit basis. The merit list will be prepared exclusively on the basis of marks obtained by the candidate in the qualifying exams and complying with the level-of-course-wise slots allotted to the states.', 'In case the allotted quota remains unfilled for want of eligible candidates, the same may be distributed to remaining eligible students from the other NE States, as per their inte-rse merit list.', 'The scholarships will be disbursed to selected students by NEC directly in their provided and verified bank accounts using DBT mode as per the extant guidelines.', 'Every renewal of the scholarship is for a period of one academic year only, if not otherwise specified.', 'All existing and eligible beneficiaries of the scholarship are required to fill up the renewal form on NSP every year during their entire course period.', 'The student must upload a previous exam marks sheet/pass certificate during the renewal application. In the case of students studying for M.Phil / PhD., the renewal application shall be accompanied by the latest progress report from the guide countersigned by the Registrar of the Institute.', 'To draw a scholarship under the renewal category, the beneficiary must pass in the particular year or be promoted to the next semester/year. In case the student could not pass all papers but was promoted to next year, as per extant rules, he/she may be considered for renewal of scholarships subject to the condition that no additional backlog, from previous years, is pending against his/her name.', 'In case the student is not promoted to next year or has backlog papers pending against his/her name for more than one year, he/she shall not receive a further scholarship for the remaining course period. It will be the responsibility of the Institute level verifying officer to ensure that the student has been promoted for a year or does not have pending backlog papers for more than a year, before accepting the application on NSP for further processing. Otherwise, such applications shall be rejected on NSP after recording reasons.', 'Any break in scholarship, during the entire course period, shall make the beneficiary non-eligible for further receipt of the scholarship for that specific course. The students shall not be provided with an option to make renewal applications in subsequent years. The student may, however, apply as a fresh applicant, upon securing admission in any advanced course, at a later stage.', 'A request for renewal of students who have changed their subject of study will not be entertained for renewal if the students have availed of the scholarship for the previous course or part of it.', 'A request for renewal of scholarship of such student beneficiaries who have changed their Institution of study will not be entertained for renewal.', 'There will be no merit list generation for renewal applications.', 'Renewal scholarship will be disbursed to all eligible and duly verified applications by NEC, directly in their verified bank accounts using DBT mode as per the extant guidelines.', 'The request for renewal of scholarships of all existing applications belonging to Academic Year 2019-20 and before will be processed as per the prevailing procedure during Academic Year 2019-20, where the respective State Government will be responsible for directly disbursing scholarships in the student’s bank accounts.', '\ufeff', 'Notes -', '\ufeff', 'SELECTION FOR SCHOLARSHIPS AND DISBURSAL -', '\ufeff', 'RENEWAL OF SCHOLARSHIP -', '\ufeff']",https://www.myscheme.gov.in/schemes/necms,Ministry Of Development Of North Eastern Region,"Scholarship, Student"
NDRI Institute Scholarship For M.Sc. And Ph.d,"['“Institute Scholarship” is offered to all students of Indian Nationality admitted to Master’s and Doctoral programmes at NDRI to provide them financial assistance as per rules and conditions in this document.', 'Scholarships are offered to only those who do not hold any other financial Assistance/ Scholarship. As and when a student receives or accepts financial assistance from any other source the “Institute Scholarship” will be terminated.', 'The award of scholarship will be made on receipt of the following certificates:', 'Eligibility']",https://www.myscheme.gov.in/schemes/ndriis,Ministry Of Agriculture and Farmers Welfare,"NDRI, Scholarship"
AICTE-Swanath Scholarship Scheme For Students,"['The candidate should be one of the following: (i) an orphan, OR (ii) whose either or both parents died due to Covid 19, OR (iii) Ward of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed).', 'The family income from all sources should not be more than ₹8,00,000 per annum during the financial year of the application.', 'The candidate should be currently studying in the AICTE Approved institutions and courses at the Degree/Diploma level in regular mode (in 1st /2nd / 3rd /4th year).', 'The candidate should NOT be Recipient of any of the Central Govt. / State Govt. / AICTE Sponsored scholarships.']",https://www.myscheme.gov.in/schemes/aicte-ssss,Ministry of Education,"Orphan, Scholarship"
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,"['The applicant must EITHER be a Pre-final/final year student of B.E./B.Tech, OR Integrated M.Tech and first/second-year student of M.E./M. Tech, OR Students pursuing MS Research, M.Sc. in Engineering, dual degree B.Tech and M.Tech or any degree with a minimum of 4 years of engineering studies.', 'The applicant must be pursuing the degree course from an AICTE-approved Engineering Institution.', ""The applicant must have scored a minimum of 7 CGPA or 65% in the previous year's annual examination."", 'The applicant must possess a letter of acceptance for presenting a research paper accepted in a conference/seminar/symposium/workshop/exhibition abroad.', '\ufeff', 'NOTE:A student is eligible only once during the course of his/her study for finance al support under the subject scheme.']",https://www.myscheme.gov.in/schemes/ai-tgses,Ministry of Education,"Grant, Student, Travel"
Abdul Kalam Technology Innovation National Fellowship,"['The scheme is applicable to Indian nationals working in India in various capacities of engineering profession in publicly funded institutions.', 'The scheme is also applicable to Overseas Citizens of India working in permanent positions in publicly funded Institutions in India.', 'The applicant should possess adequate professional qualifications and hold at least a bachelor’s degree with a proven outstanding track record in innovation or technology development.', 'This applicant should have a minimum of five (5) years of service left in the parent organization as of the date of the award.', 'The applicant should not be holding any other fellowship and in the event of selection, he/she will have to opt for only one of the fellowships.', 'The scheme is applicable to Indian nationals working in India in various capacities of engineering profession in publicly funded institutions.The scheme is also applicable to Overseas Citizens of India working in permanent positions in publicly funded Institutions in India.The applicant should possess adequate professional qualifications and hold at least a bachelor’s degree with a proven outstanding track record in innovation or technology development.This applicant should have a minimum of five (5) years of service left in the parent organization as of the date of the award.The applicant should not be holding any other fellowship and in the event of selection, he/she will have to opt for only one of the fellowships.']",https://www.myscheme.gov.in/schemes/aktinf,Ministry Of Science And Technology,"Abdul Kalam, Fellowship, Innovation, Research, SERB, Translational Research"
Financial Assistance Scheme For Higher Competitive/ Entrance Examination To Scheduled Castes/ Backward Classes Students,"['The student should be a domicile of Haryana & must belong to a Scheduled caste/Backward Class.', 'The annual Income of the parents/guardians Should not exceed ₹2.50 lacs.', 'The candidate should possess all the requisite qualifications required for the examination.', 'The candidate will not be permitted to avail of more than two chances for a particular competitive examination.', 'The Director, Welfare of Scheduled Castes and Backward Classes Department, Haryana will invite proposals from the implementing agencies directly every year.', 'The proposals received from the implementing agencies will be considered and finalized by a committee consisting of the following:', 'Eligibility of students:The student should be a domicile of Haryana & must belong to a Scheduled caste/Backward Class.The annual Income of the parents/guardians Should not exceed ₹2.50 lacs.The candidate should possess all the requisite qualifications required for the examination.The candidate will not be permitted to avail of more than two chances for a particular competitive examination.Note 01:The selected candidates shall have to attend all classes. In the event of any student remaining absent for more than 5 days at a time maximum of 15 days during the entire course without any valid reason, benefits of free coaching to him/her shall be discontinued and another candidate shall be taken in his/her place.Note 02:Depending on the budget allocation, the total number of students should be fixed in advance and distributed among the agencies; it should not be left open-ended.Note 03:This scheme will be applicable and available for only those courses which are not covered by any other Scheme for Scheduled Castes and Backward Classes run by other departments.Selection of reputed institutions:The Director, Welfare of Scheduled Castes and Backward Classes Department, Haryana will invite proposals from the implementing agencies directly every year.The proposals received from the implementing agencies will be considered and finalized by a committee consisting of the following:Chairman: Secretary to Govt. Haryana, Welfare of Scheduled Castes And Backward Classes Department.Member-Secretary: Director, Welfare of Welfare of Scheduled Castes  and Backward Classes Department, HaryanaMember: Deputy Director, Welfare of Scheduled Castes  & Backward Classes Department, HaryanaMember: District Welfare Officer (concerned District)\ufeff', 'Eligibility of students:', 'Note 01:The selected candidates shall have to attend all classes. In the event of any student remaining absent for more than 5 days at a time maximum of 15 days during the entire course without any valid reason, benefits of free coaching to him/her shall be discontinued and another candidate shall be taken in his/her place.', 'Note 02:Depending on the budget allocation, the total number of students should be fixed in advance and distributed among the agencies; it should not be left open-ended.', 'Note 03:This scheme will be applicable and available for only those courses which are not covered by any other Scheme for Scheduled Castes and Backward Classes run by other departments.', 'Selection of reputed institutions:', '\ufeff']",https://www.myscheme.gov.in/schemes/fashceescbcs,Haryana,"Backward Classe, Coaching, Competitive Examination, Entrance Examination, Financial Assistance, Scheduled Caste, Student"
Indira Gandhi National Special Ability Pension,"['1.\tThe applicant must be a citizen of India.', '2.\tThe person must be between 18 to 79 years old.', '3.\tThe applicant should have 80% or more special ability.', '4.\tThe person should belong to a below-poverty-line household.', '5.\tThe applicant should have a valid bank account.', '\ufeff']",https://www.myscheme.gov.in/schemes/ignsap,Himachal Pradesh,"80% Disability, DBT, Financial Assistance, Handicapped, Special Ability Pension"
SITARE-Appreciation Grant,"['Students pursuing Bachelors programme in any discipline are eligible to apply under the scheme.', 'The student should have a valid ID issued by the Institution/University.', 'A student can avail of only one opportunity for BIIS workshop training across all SITARE Partners, except for the SITARE-Appreciation Award Grantees who will be eligible to avail access to subsequent workshops by other Partners on recommendation by SITARE Partner/BIRAC.', 'Students pursuing Bachelors programme in any discipline are eligible to apply under the scheme.The student should have a valid ID issued by the Institution/University.A student can avail of only one opportunity for BIIS workshop training across all SITARE Partners, except for the SITARE-Appreciation Award Grantees who will be eligible to avail access to subsequent workshops by other Partners on recommendation by SITARE Partner/BIRAC.Note:The preference will be given to the students who are from Tier II/Tier III cities and aspirational districts within India.', 'Note:The preference will be given to the students who are from Tier II/Tier III cities and aspirational districts within India.']",https://www.myscheme.gov.in/schemes/sitare-ag,Ministry Of Science And Technology,"Appreciation, BIIS, Grant, Residential Workshop, SITARE, Undergraduate Student"
GST Exemption Certificate Scheme,"['Any Orthopedic Physically handicapped person having a permanent disability of 40% & above can apply for the benefit under the scheme, irrespective of whether the applicant drives the vehicle himself or otherwise.', 'Cars (automatic or manual) having a length less than or equal to 4m and engine capacity of not more than 1200 cc (petrol, Liquefied Petroleum Gases (LPG) or compressed natural gas (CNG) or 1500 cc (diesel) qualify for purchase under this scheme.', 'The said Certificate for availing the GST concession would be valid for a period of three months from the date of issue of the certificate and the vehicle would have to be purchased by the applicant within this three-month period to avail the concession.']",https://www.myscheme.gov.in/schemes/gstecs,Ministry of Heavy Industries,"Car, Certificate, Concession, GST, Person With Disability, PwD"
AICTE – Mitacs Globalink Research Internship (GRI) Scheme,"['The applicant must be a 3rd-year full-time student of an undergraduate program (B.E / B.Tech) in AICTE Approved Institution in the year of application.', 'The applicant must have a minimum CGPA / GPA of 85% in 2nd year.', 'The applicant must be at least 18 years of age.', 'The applicant must be able to spend twelve (12) weeks between May and September at a university in Canada on a research project related to their area of interest and expertise.', 'The applicant must be able to demonstrate oral and written fluency in English or French, depending on the primary language of the project as indicated by the Canadian host professor.']",https://www.myscheme.gov.in/schemes/am-gris,Ministry of Education,"Internship, Research"
Indira Gandhi Shehri Credit Card Yojana,"['The applicant must be a permanent resident of Rajasthan.', 'The age of the applicant should be between 18 to 40 years.', 'To get the benefit of this scheme, the monthly income of the applicant should be Rs 15,000/- or less.', ""The monthly income of the applicant's family should be Rs. 50,000 or less."", 'All those small traders who have been provided with a certificate or identity card by the urban body are also eligible for this scheme.', 'Traders left out in the survey or beneficiary Wonder with a recommendation letter from Town Vending Committee will also be eligible for this scheme.', 'The vendors selected during the survey will also be eligible for this scheme. (To whom a certificate or identity card has not been issued)']",https://www.myscheme.gov.in/schemes/igsccy,Rajasthan,"Covid, Empowerment, Financial Assistance, Unemployment"
